response_id,last_use,usage_experience,skill_level,lenof | _Lenof,lengthof | _Lengthof,countof | _Countof,nelemsof | _Nelemsof,nelementsof | _Nelementsof,extentof | _Extentof,"`_Keyword` and &lt;stdkeyword.h&gt;",Just `_Keyword`,Lowercase `keyword`,_Lengthof keyword; no macro in header,_Lengthof keyword; lengthof macro,lengthof keyword; no macro in header,_Extentof keyword; no macro in header,_Extentof keyword; extentof macro,extentof keyword; no macro in header,_Lenof keyword; no macro in header,_Lenof keyword; lenof macro,lenof keyword; no macro in header,_Countof keyword; no macro in header,_Countof keyword; countof macro,countof keyword; no macro in header,_Nelemsof keyword; no macro in header,_Nelemsof keyword; nelemsof macro,nelemsof keyword; no macro in header,nelementsof keyword; no macro in header,comment
1,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,3,5,1,1,-1,1,-1,-3,5,-3,3,5,-3,1,1,-3,1,1,-3,1,1,-3,1,1,1,
2,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,3,5,-3,-3,-3,-3,-3,-3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,5 to 10 years ago,5 to 10 years,Professional / Industrial Software Development,3,3,-3,3,5,-5,5,-5,3,-3,3,1,-3,-3,-3,-3,3,1,-5,-3,-3,-3,3,3,5,
4,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,-1,3,5,-1,-3,-5,1,-5,5,-3,-1,3,-5,-3,-3,-1,1,3,-3,-1,5,-3,-3,3,1,
5,Recently (0 to 2 years ago),2 to 5 years,Professional / Industrial Software Development,5,-5,3,-3,-5,-1,-3,1,5,-5,-5,-5,-3,-5,1,1,-1,5,-1,-3,3,-5,-5,-3,-5,
6,Recently (0 to 2 years ago),2 to 5 years,Academic / Research Software Development,5,3,3,3,3,-1,3,-5,5,-5,3,-5,-5,-3,-3,-5,5,5,-5,3,3,-5,3,3,3,
7,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,-1,1,5,1,-1,3,-1,-3,5,1,1,3,1,1,3,-1,-1,1,1,1,5,-1,-1,1,1,"I think C23 is a great turning point to implement disruptive changes, so if we want a keyword (which I'm sure we want) *now* is the moment to introduce it. Who knows when there will be another chance of breaking away with the past like we have right now."
8,Recently (0 to 2 years ago),2 to 5 years,Professional / Industrial Software Development,3,3,5,-3,-3,-3,3,-3,5,-3,1,3,-5,-3,-1,-3,-1,3,-1,-1,5,0,-3,-3,-1,You're doing good work. Be strong!
9,2 to 5 years ago,2 to 5 years,Hobbyist / Personal Projects,1,5,-1,-3,-5,-1,3,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,Recently (0 to 2 years ago),20 to 30 years,Professional / Industrial Software Development,1,1,5,-5,1,-3,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,Recently (0 to 2 years ago),20 to 30 years,Professional / Industrial Software Development,3,-1,1,1,-1,5,3,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I only do a little bit of C programming every few years, usually because I’m the only person around who is willing to do it."
12,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,1,1,5,-1,-1,3,3,-5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,It would be wise to consider a sister keyword that’s “last element of” and get rid of the `- 1` that surprises novice users and tired code reviewers
13,Recently (0 to 2 years ago),20 to 30 years,Professional / Industrial Software Development,1,1,5,-3,-1,-1,-1,-1,3,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-3,5,-1,-1,-1,-1,
14,2 to 5 years ago,2 to 5 years,Software Mentor; Professor / Teacher; Trainer,1,1,3,-3,-1,3,1,-1,3,-1,1,1,1,5,5,1,1,1,3,5,5,-3,-3,-3,-1,
15,Recently (0 to 2 years ago),10 to 20 years,Hobbyist / Personal Projects,1,3,1,-3,-3,-5,-3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
